osm_idx,amap_name,pname,cityname,adname,business,address
('116.200',北京市峰志达建筑设备租赁有限责任公司职工宿舍,北京市,北京市,丰台区,,卢沟桥乡张仪村西路(经仪公园西北侧)
('116.200',建明里-北区,北京市,北京市,昌平区,,西关路与西环路交叉口西160米
('116.250',国通家园一区,北京市,北京市,昌平区,,昌崔路果岭小镇国通家园
('116.250',国通家园,北京市,北京市,昌平区,,昌崔路201号
('116.250',金隅·澜湾北区,北京市,北京市,昌平区,,介山北小街与龙水路交叉口东南120米
('116.250',丰台区大井中街九号院,北京市,北京市,丰台区,,大井中街与大井东街交叉口西60米
('116.250',金璟阳光苑南区,北京市,北京市,丰台区,,[]
('116.250',卢街宿舍,北京市,北京市,丰台区,,卢沟桥路与大井东街交叉口西北140米
('116.100',北斗山庄上岸寄宿区3区,北京市,北京市,房山区,,詹庄路与良坨路交叉口东北200米
('116.050',青龙湖路9号院,北京市,北京市,房山区,,青龙湖路青秀街6号院(原青龙湖社区)西北侧约110米
('116.050',锦湖逸居家园,北京市,北京市,房山区,,青龙湖镇青秀街1号院
('116.050',盛林路6号院,北京市,北京市,房山区,,南大街与阎吕路交叉口西南360米
('116.050',锦湖逸居家园3区,北京市,北京市,房山区,,盛林路6号院
('116.050',中南建设集团有限公司北京分公司良坨路项目宿舍,北京市,北京市,丰台区,,北京卢沟桥街道小屯路100号
('116.200',北京十中教师楼,北京市,北京市,丰台区,,长辛店南关东里2号
('116.000',观山雅舍,北京市,北京市,门头沟区,,东韭路1号
('116.000',观山雅舍,北京市,北京市,门头沟区,,东韭路1号
('116.050',田园新村二区,北京市,北京市,房山区,,田园路与房窑路交叉口东440米
('116.050',田家园新村小区南三区,北京市,北京市,房山区,,田园路与房窑路交叉口东440米
('116.100',梁府173号,北京市,北京市,门头沟区,,菜家府山上173号
('116.100',东老店楼,北京市,北京市,门头沟区,,三温路与菜家府路交叉口南460米
('116.100',新景家园,北京市,北京市,东城区,,崇文门西花市大街8号(新世界商场向东150米)
('116.100',新景家园,北京市,北京市,东城区,,崇文门西花市大街8号(新世界商场向东150米)
('116.100',安岚佳苑社区,北京市,北京市,海淀区,,通和路与杏林街交叉口南80米
('116.100',安河家园五里,北京市,北京市,海淀区,,正林街与通善路交叉口西北80米
('116.100',安河家园四里,北京市,北京市,海淀区,,正林街与通和路交叉口西北160米
('116.450',汇贤家园一里9号院,北京市,北京市,大兴区,,内官庄街与英贤路交叉口东北180米
('116.450',汇贤家园二里16号院,北京市,北京市,大兴区,,内官庄街与英贤路交叉口东南160米
('116.450',汇贤家园一里7号院,北京市,北京市,大兴区,,礼贤镇英贤路
('116.450',敬贤家园北里E区,北京市,北京市,大兴区,,英贤路与内官庄街交叉口西360米
('116.450',敬贤家园北里D区,北京市,北京市,大兴区,,知礼街与英贤路交叉口东北180米
('116.450',敬贤家园北里B区,北京市,北京市,大兴区,,祥礼街与英贤路交叉口东南140米
('116.450',敬贤家园中里D区,北京市,北京市,大兴区,,礼贤镇
('116.450',敬贤家园南里E区,北京市,北京市,大兴区,,青礼路2号
('116.450',敬贤家园中里,北京市,北京市,大兴区,,聚贤路与知礼街交叉口西100米
('116.450',敬贤家园南里C区,北京市,北京市,大兴区,,新达街与贺贤路交叉口东北120米
('116.450',敬贤家园南里A区,北京市,北京市,大兴区,,礼贤镇文礼路与贺贤路交叉口北50米路西
('116.400',葫芦河村203号,北京市,北京市,昌平区,,顺沙路70号
('116.100',温馨家园,北京市,北京市,西城区,,国家大剧院南门旁
('115.950',北关小区,北京市,北京市,延庆区,,延庆镇北关村
('115.950',王庄职工公寓,北京市,北京市,延庆区,,[]
('116.100',吴坊营,北京市,北京市,延庆区,,延琉路西北30米
('116.100',归乡·龙源里,北京市,北京市,延庆区,,上磨村团山路
('116.100',九号院,北京市,北京市,朝阳区,,柳芳北街9号(柳芳地铁站B东口步行330米)
('116.950',雷克艾森别墅,北京市,北京市,密云区,,羊娄路与密古路交叉口西北300米
('116.050',南老君堂1区,北京市,北京市,延庆区,,乡里乡居孟舍小院东侧240米
('115.950',文化活动中心,北京市,北京市,朝阳区,,国家体育场南路1号
('115.950',鸿福吉祥居,北京市,北京市,朝阳区,,黎各庄村83号
('115.950',军工路家属区,北京市,北京市,房山区,,石花洞路与半壁店村路交叉口东北240米
('116.750',移民小区,北京市,北京市,顺义区,,李木路与黄望路交叉口北120米
('116.750',乡村自建房,北京市,北京市,大兴区,,北辛庄路北辛庄村委会南100米路东
('116.600',北山东村健身小广场,北京市,北京市,大兴区,,采辛路与采万路交叉口西220米
('116.000',集装箱大院,北京市,北京市,通州区,,马大路与兴贸一街交叉口北180米
('116.000',化四小区,北京市,北京市,房山区,,京周路与顾八路交叉口东340米
('116.350',槐房东里41号院,北京市,北京市,丰台区,,槐房路与槐房南路交叉口南180米
('116.100',西南召村1区,北京市,北京市,房山区,,紫码路
('116.050',马匹营,北京市,北京市,延庆区,,双龙南路与西马路交叉口东280米
('116.050',后吕庄2区,北京市,北京市,延庆区,,一棵树民宿西北侧190米
('115.950',王平新村,北京市,北京市,门头沟区,,[]
('116.450',安然居,北京市,北京市,大兴区,,北店村后街9号
('116.450',北街3号,北京市,北京市,大兴区,,京福路926号
('116.450',枣林壹号院,北京市,北京市,大兴区,,高野路80号
('116.100',五洲康泰35号院,北京市,北京市,海淀区,,梁家园路与北安河路交叉口东180米
('116.100',青松公寓,北京市,北京市,海淀区,,聂各庄路与凤凰岭路交叉口东南40米
('115.950',鸿福家园,北京市,北京市,朝阳区,,定福庄路一号院鸿福家园
('115.950',芦苇小区,北京市,北京市,房山区,,岳琉路与北头街交叉口东南100米
('115.800',富民东区,北京市,北京市,房山区,,石水路与岩上路交叉口南280米
('115.950',中羊坊2区,北京市,北京市,延庆区,,北京白菜居别墅西北侧80米
('116.400',一东国际烫染会所,北京市,北京市,昌平区,,兴寿镇
('116.250',巴园子村西巷西四条1-2号,北京市,北京市,大兴区,,北臧村镇巴园子村西巷西四条1-2号
('116.550',环岛13号院,北京市,北京市,顺义区,,京密路与京沈路交叉口东南180米
('116.150',凯哥胡同·鑫号院,北京市,北京市,昌平区,,阳坊镇史家桥村
('116.600',高各庄火车站大院,北京市,北京市,怀柔区,,富密路与仓储中路交叉口西北500米
('116.050',小董村西里一号,北京市,北京市,房山区,,大件路与吴庄村南后街交叉口东南220米
('116.050',大董村一里,北京市,北京市,房山区,,007县道与京周路交叉口北420米
('115.950',中建一局横岭基地生活1区,北京市,北京市,房山区,,横岭路与房东路交叉口西北440米
('115.950',羊耳峪西区住宅小区,北京市,北京市,房山区,,东万路
('115.950',羊耳峪西区住宅小区,北京市,北京市,房山区,,东万路
('115.950',羊耳峪西区C组团,北京市,北京市,房山区,,双泉路与东风一巷交叉口东200米
('116.850',乐邸悠然,北京市,北京市,密云区,,石墙沟村123号
('116.150',宿美苑,北京市,北京市,延庆区,,永宁东西街与村线胡同交叉口西南160米
('116.150',宿美苑,北京市,北京市,延庆区,,永宁东西街与村线胡同交叉口西南160米
('115.950',西山小镇东区,北京市,北京市,房山区,,周口村路与京周路交叉口西南200米
('116.650',祥瑞居,北京市,北京市,怀柔区,,雁栖镇范各庄村99号
('116.750',金安楼,北京市,北京市,顺义区,,魏辛庄三街与李魏路交叉口东340米
('116.250',铁路宿舍,北京市,北京市,丰台区,,西四环南路辅路与丰台南路交叉口东南140米
('116.400',养护大院,北京市,北京市,朝阳区,,晨光东路与园星街交叉口东380米
('116.150',侯庄东区,北京市,北京市,房山区,,窦公路与西侯路交叉口西100米
('115.900',灰地社区,北京市,北京市,门头沟区,,大台街道
('116.050',静心雅园休闲别墅(北西路分店),北京市,北京市,延庆区,,井庄镇八家村54号
('116.450',智汇湖玺,北京市,北京市,昌平区,,顺沙路与大西路交叉口西南320米
('116.350',金石美家2号院,北京市,北京市,昌平区,,昌崔路与怀昌路交叉口西北120米
