Name,price,matched
西二旗铭科苑小区,,
新龙城2期,19163.0,新龙城
龙腾苑六区,36178.0,龙腾苑六区
龙腾苑五区,39082.0,龙腾苑五区
龙腾苑三区,35230.0,龙腾苑三区
龙腾苑二区,33277.0,龙腾苑二区
龙锦苑四区,,
龙泽苑西区,39288.0,龙泽苑西区
龙泽苑东区,35495.0,龙泽苑东区
龙腾苑四区,31359.0,龙腾苑四区
龙跃苑二区,,
龙跃苑四区,,
龙跃苑一区,30589.0,龙跃苑一区
龙跃苑三区,32114.0,龙跃苑三区
风雅园一区,32367.0,风雅园一区
风雅园二区,33053.0,风雅园二区
风雅园三区,33854.0,风雅园三区
云趣园一区,32556.0,云趣园一区
云趣园二区,,
云趣园三区,32669.0,云趣园三区
龙华园东区,,
北店嘉园,,
龙禧苑一区,,
流星花园一区,45652.0,流星花园一区
流星花园三区,43790.0,流星花园三区
龙锦苑六区,30451.0,龙锦苑六区
育新花园,,
通达园,,
雪梨澳乡A区,,
雪梨澳乡B区,,
佰嘉城,30379.0,佰嘉城
国仕汇,36321.0,国仕汇
田园风光雅苑东区,35969.0,田园风光雅苑西区
合木山庄,55311.0,合木山庄
都市芳园,,
九台庄园,57049.0,九台庄园
富力桃园,50485.0,建材城富力桃园
紫金新干线二区,49197.0,紫金新干线家园二区
天鑫家园,32154.0,天鑫家园
紫金新干线1期,,
龙锦苑东一区,30386.0,龙锦苑东一区
龙锦苑东四区,30939.0,龙锦苑东四区
龙锦苑东五区,29187.0,龙锦苑东五区
贺村新村,,
回南家园,,
森林大第,,
龙锦苑东二区,30019.0,龙锦苑东二区
龙跃苑东五区,35784.0,龙跃苑东五区
龙跃苑东四区,35758.0,龙跃苑东四区
东亚·上北中心,,
龙跃苑东二区,,
北京人家,38547.0,北京人家
国风美唐一期,56293.0,首开国风美唐1期
北店嘉园南区,,
园墅,,
骊龙园,,
龙回苑,34654.0,龙回苑
枫丹丽舍小区,61278.0,枫丹丽舍
领秀硅谷,71320.0,领秀硅谷
博雅德园,,
回龙观村中区,,
回龙观村西区,,
回龙观新村东区,,
金域华府,70540.0,金域华府
融泽嘉园一号院,,
领秀新硅谷,,
领秀新硅谷,,
智学苑,48342.0,西二旗智学苑
流星花园二区,,
龙禧苑五区,,
金榜园,42676.0,金榜园
上奥世纪小区,38163.0,上奥世纪中心
万润家园,37484.0,万润家园
北京回龙观万龙社区,,
新龙城1期,,
新龙城3期,,
东村家园,40612.0,东村家园
龙博苑1区,,
龙博苑2区,,
龙博苑3区,,
吉晟别墅,54475.0,吉晟别墅
金隅翡丽·华庭,,
公园悦府,54811.0,公园悦府
华龙苑北里,,
慧龙居,,
华龙苑中里,33806.0,华龙苑中里
华龙苑南里,36124.0,华龙苑南里
蓝天园,32201.0,蓝天园小区
领秀慧谷一区,,
领秀慧谷A区,,
领秀慧谷B区,41050.0,领秀慧谷B区
领秀慧谷D区,54423.0,领秀慧谷D区
朱辛庄新区,30678.0,朱辛庄新区南区
朱辛庄北区,,
融泽嘉园8号院,45609.0,融泽嘉园东8号院
龙禧苑二区,32506.0,龙禧苑二区
建材城西二里,,
知本时代,51805.0,知本时代
建材城西一里,,
新康园南区,,
北新家园,,
龙兴园南区,,
天巢园,37227.0,天巢园
融泽嘉园二期,,
融泽嘉园西六号院,43031.0,融泽嘉园西6号院
融泽嘉园二号院,,
融泽嘉园中区,,
融泽嘉园12号院,44922.0,融泽嘉园中12号院
住总万科金域国际,,
尚华家园,17.0,好适口(尚华家园店)
融泽嘉园东6号院,,
蓝天嘉园,,
龙乡小区中区,,
龙乡小区东区,36570.0,龙乡小区
南店新村,,
新康园北区,33829.0,新康园北区
黄平路8号院,,
建材城西路9号院,,
住总·旗胜家园北2区,36726.0,住总·旗胜家园
住总·旗胜家园南区,,
