FID,Name,osm_fclass,area_m2,lng,lat,reason
68,,residential,5313.0,116.30736,40.07672,unnamed_R
194,,residential,115124.0,116.37846,40.05441,unnamed_R
223,,residential,25990.0,116.2959,40.08395,unnamed_R
224,,residential,71503.0,116.2933,40.08693,unnamed_R
343,,residential,391933.0,116.38701,40.08381,unnamed_R
363,,residential,3988.0,116.35476,40.05339,unnamed_R
366,,residential,19285.0,116.33293,40.05126,unnamed_R
390,,residential,82008.0,116.35099,40.0896,unnamed_R
419,,residential,443244.0,116.36782,40.09602,unnamed_R
419,,residential,443244.0,116.36782,40.09602,oversized_R
156,中国人民解放军空军研究院,military,400408.0,116.31479,40.05238,unclassified
159,中国人民解放军93462部队,military,195444.0,116.32635,40.05908,unclassified
232,火箭军气象中心,military,65701.0,116.32185,40.09937,unclassified
337,,farmland,200344.0,116.38271,40.0982,unclassified
339,,farmland,60323.0,116.37698,40.09873,unclassified
340,,farmland,10383.0,116.37515,40.09864,unclassified
353,火箭军参谋部作战保障大队,military,136580.0,116.32,40.09454,unclassified
