primary,grade,district,amap_name,address,wgs_lng,wgs_lat,match
上方山景区,3A,房山,上方山,房山区,115.810736,39.681087,1
世界公园30景区,4A,丰台,世界公园,丰葆路158号(公园内),116.281753,39.809367,1
世界花卉大观园景区,4A,丰台,世界花卉大观园,南四环中路235号,116.347037,39.833978,1
东城区龙潭公园景区,4A,东城,龙潭公园,龙潭路16号,116.432056,39.878418,1
中华石雕艺术园景区,2A,房山,中华石雕艺术园,大石窝镇大石窝村房易路附近,115.816299,39.549179,1
中国人民抗日战争纪念馆景区,4A,丰台,中国人民抗日战争纪念馆,卢沟桥城内街101号,116.219877,39.850573,1
中国印刷博物馆景区,3A,大兴,中国印刷博物馆,兴华北路25号(清源路地铁站A西北口步行210米),116.325349,39.742172,1
中国地质博物馆,3A,西城,中国地质博物馆,西四羊肉胡同15号,116.365515,39.922002,1
中国紫檀博物馆,4A,朝阳,中国紫檀博物馆,建国路23号,116.520144,39.909538,1
中国航空博物馆旅游区,4A,昌平,中国航空博物馆(暂停营业),顺沙路99号,116.360389,40.183639,1
中央电视塔景区,4A,海淀,中央电视塔,西三环中路11号(玉渊潭公园对面),116.300927,39.917579,1
丰台区万芳亭公园景区,2A,丰台,万芳亭公园,南三环西路3号,116.369484,39.857206,1
丰台区中国园林博物馆景区,4A,丰台,中国园林博物馆,园博大道32号,116.170954,39.877697,1
丰台区北宫森林公园景区,4A,丰台,,,,,0
乐多港假日广场景区,4A,昌平,乐多港假日广场,南口路81号,116.18384,40.231623,1
乐谷银滩风景区,3A,房山,北京乐谷,十渡名胜风景区乐谷银滩,115.661912,39.616729,1
云梦仙境景区,3A,怀柔,云梦仙境,琉璃庙乡龙潭涧自然风景区内,116.688276,40.614259,1
京都第一瀑景区,2A,密云,北京京都第一瀑旅游度假村(清凉谷风景区店),北京市密云区石城镇柳棵峪村京都第一瀑度假村,116.779295,40.591561,1
仙居谷风景区,4A,密云,仙居谷自然风景区,太师屯镇令公村甲1号,117.23147,40.587461,1
仙栖洞景区,3A,房山,仙栖洞,张坊镇东关上村,115.742945,39.658273,1
八大处公园,4A,石景山,八大处公园,八大处路3号,116.178209,39.961392,1
八奇洞景区,4A,门头沟,八奇洞,潭柘寺平原村,116.023669,39.893253,1
八达岭,5A,,八达岭,延庆区,115.998064,40.356991,1
八达岭古长城景区,3A,延庆,八达岭古长城自然风景区,八达岭镇东沟村,115.97142,40.337743,1
八达岭水关长城景区,4A,延庆,八达岭水关长城,八达岭石佛寺村,116.032918,40.335133,1
兴隆公园景区,3A,朝阳,兴隆公园·湖东游乐场,高碑店乡兴隆庄甲8号兴隆郊野公园,116.528204,39.91106,1
前门大街景区,3A,东城,前门大街,前门西河沿街1号,116.397653,39.894749,1
北京,5A,,北京市,东城区,116.401145,39.902776,1
北京世园公园,4A,延庆,北京世园公园-卡塔尔园,延庆镇百康路1号北京世园国际旅游度假区内(东侧),115.954174,40.444798,1
北京丛海逸园景区,2A,平谷,丛海逸园,大华山镇小峪子村裕华西路83号(桃花海观光园对面),117.019482,40.256624,1
北京二锅头酒博物馆景区,3A,怀柔,北京二锅头酒博物馆(暂停开放),红星路1号,116.659251,40.32515,1
北京云峰山景区,3A,密云,云峰山自然风景区,不老屯镇,116.948259,40.585974,1
北京京西古道景区,3A,门头沟,京西古道风景区,妙峰山镇水峪嘴村(近马致远故居),116.043404,39.964807,1
北京冶仙塔旅游风景区,3A,密云,,,,,0
北京凤凰岭景区,4A,海淀,北京凤凰岭景区,苏家坨镇凤凰岭路19号,116.07863,40.105375,1
北京动物园景区,4A,西城,北京动物园,西直门外大街137号,116.330543,39.940776,1
北京十渡风景区,4A,房山,房山十渡风景名胜区,九渡大街9号,115.604673,39.639638,1
北京南海子麋鹿苑博物馆景区,3A,大兴,北京南海子麋鹿苑博物馆,旧宫镇旧忠路麋鹿苑内(西侧),116.452371,39.7761,1
北京历代帝王庙景区,2A,西城,北京历代帝王庙,阜成门内大街131号,116.361226,39.923422,1
北京双龙峡自然风景区,3A,门头沟,双龙峡自然风景区,斋堂镇火村,115.711359,39.949802,1
北京古崖居原始部落旅游区,3A,延庆,,,,,0
