primary,grade,disposition,wkt,radius_m
上方山景区,3A,CONSTRUCTED,"POLYGON ((115.81971911174992 39.681087, 115.81967585561151 39.68020650107501, 115.81954650377654 39.679334481836, 115.81933230197389 39.67847934030493, 115.81903531308402 39.67764931196222, 115.81865839727227 39.67685239043455, 115.81820518444397 39.67609625051186, 115.81768003928642 39.67538817423496, 115.81708801923452 39.67473498076548, 115.81643482576504 39.67414296071359, 115.81572674948815 39.67361781555603, 115.81497060956546 39.67316460272774, 115.81417368803778 39.672787686915996, 115.81334365969506 39.67249069802612, 115.812488518164 39.67227649622347, 115.81161649892499 39.6721471443885, 115.810736 39.672103888250085, 115.80985550107502 39.6721471443885, 115.80898348183601 39.67227649622347, 115.80812834030495 39.67249069802612, 115.80729831196223 39.672787686915996, 115.80650139043455 39.67316460272774, 115.80574525051186 39.67361781555603, 115.80503717423497 39.67414296071359, 115.8043839807655 39.67473498076548, 115.8037919607136 39.67538817423496, 115.80326681555604 39.67609625051186, 115.80281360272774 39.67685239043455, 115.802436686916 39.67764931196222, 115.80213969802612 39.67847934030493, 115.80192549622348 39.679334481836, 115.8017961443885 39.68020650107501, 115.80175288825009 39.681087, 115.8017961443885 39.68196749892498, 115.80192549622348 39.682839518163995, 115.80213969802612 39.683694659695064, 115.802436686916 39.684524688037776, 115.80281360272774 39.68532160956545, 115.80326681555604 39.686077749488135, 115.8037919607136 39.686785825765035, 115.8043839807655 39.68743901923452, 115.80503717423497 39.68803103928641, 115.80574525051186 39.68855618444397, 115.80650139043455 39.68900939727226, 115.80729831196223 39.689386313084, 115.80812834030495 39.68968330197388, 115.80898348183601 39.68989750377653, 115.80985550107502 39.6900268556115, 115.810736 39.69007011174991, 115.81161649892499 39.6900268556115, 115.812488518164 39.68989750377653, 115.81334365969506 39.68968330197388, 115.81417368803778 39.689386313084, 115.81497060956546 39.68900939727226, 115.81572674948815 39.68855618444397, 115.81643482576504 39.68803103928641, 115.81708801923452 39.68743901923452, 115.81768003928642 39.686785825765035, 115.81820518444397 39.686077749488135, 115.81865839727227 39.68532160956545, 115.81903531308402 39.684524688037776, 115.81933230197389 39.683694659695064, 115.81954650377654 39.682839518163995, 115.81967585561151 39.68196749892498, 115.81971911174992 39.681087))",1000.0
丰台区中国园林博物馆景区,4A,CONSTRUCTED,"POLYGON ((116.17275062234998 39.877697, 116.17274197112229 39.877520900215, 116.1727161007553 39.877346496367196, 116.17267326039477 39.87717546806098, 116.1726138626168 39.877009462392444, 116.17253847945445 39.87685007808691, 116.1724478368888 39.87669885010237, 116.17234280785728 39.87655723484699, 116.1722244038469 39.876426596153095, 116.17209376515301 39.876308192142716, 116.17195214989762 39.87620316311121, 116.17180092191309 39.87611252054555, 116.17164153760756 39.8760371373832, 116.17147553193901 39.87597773960522, 116.1713045036328 39.87593489924469, 116.17113009978499 39.8759090288777, 116.170954 39.87590037765001, 116.170777900215 39.8759090288777, 116.17060349636719 39.87593489924469, 116.17043246806098 39.87597773960522, 116.17026646239243 39.8760371373832, 116.1701070780869 39.87611252054555, 116.16995585010237 39.87620316311121, 116.16981423484698 39.876308192142716, 116.16968359615309 39.876426596153095, 116.16956519214271 39.87655723484699, 116.1694601631112 39.87669885010237, 116.16936952054554 39.87685007808691, 116.16929413738319 39.877009462392444, 116.16923473960522 39.87717546806098, 116.1691918992447 39.877346496367196, 116.1691660288777 39.877520900215, 116.16915737765001 39.877697, 116.1691660288777 39.87787309978499, 116.1691918992447 39.8780475036328, 116.16923473960522 39.87821853193901, 116.16929413738319 39.87838453760755, 116.16936952054554 39.878543921913085, 116.1694601631112 39.878695149897624, 116.16956519214271 39.878836765153004, 116.16968359615309 39.8789674038469, 116.16981423484698 39.87908580785728, 116.16995585010237 39.87919083688879, 116.1701070780869 39.87928147945445, 116.17026646239243 39.879356862616795, 116.17043246806098 39.87941626039478, 116.17060349636719 39.879459100755305, 116.170777900215 39.879484971122295, 116.170954 39.87949362234998, 116.17113009978499 39.879484971122295, 116.1713045036328 39.879459100755305, 116.17147553193901 39.87941626039478, 116.17164153760756 39.879356862616795, 116.17180092191309 39.87928147945445, 116.17195214989762 39.87919083688879, 116.17209376515301 39.87908580785728, 116.1722244038469 39.8789674038469, 116.17234280785728 39.878836765153004, 116.1724478368888 39.878695149897624, 116.17253847945445 39.878543921913085, 116.1726138626168 39.87838453760755, 116.17267326039477 39.87821853193901, 116.1727161007553 39.8780475036328, 116.17274197112229 39.87787309978499, 116.17275062234998 39.877697))",200.0
丰台区北宫森林公园景区,4A,NOT_FOUND,,
乐多港假日广场景区,4A,CONSTRUCTED,"POLYGON ((116.18743324469997 40.231623, 116.1874159422446 40.23127080043, 116.18736420151062 40.2309219927344, 116.18727852078956 40.23057993612198, 116.1871597252336 40.23024792478489, 116.1870089589089 40.22992915617382, 116.18682767377759 40.22962670020474, 116.18661761571457 40.22934346969399, 116.18638080769381 40.229082192306194, 116.18611953030602 40.228845384285435, 116.18583629979526 40.22863532622241, 116.18553384382618 40.22845404109109, 116.18521507521511 40.2283032747664, 116.18488306387803 40.22818447921045, 116.18454100726561 40.228098798489384, 116.18419219956999 40.2280470577554, 116.18384 40.228029755300035, 116.18348780043002 40.2280470577554, 116.1831389927344 40.228098798489384, 116.18279693612197 40.22818447921045, 116.1824649247849 40.2283032747664, 116.18214615617383 40.22845404109109, 116.18184370020475 40.22863532622241, 116.18156046969399 40.228845384285435, 116.1812991923062 40.229082192306194, 116.18106238428544 40.22934346969399, 116.18085232622242 40.22962670020474, 116.1806710410911 40.22992915617382, 116.18052027476641 40.23024792478489, 116.18040147921045 40.23057993612198, 116.18031579848939 40.2309219927344, 116.18026405775541 40.23127080043, 116.18024675530003 40.231623, 116.18026405775541 40.231975199569995, 116.18031579848939 40.232324007265596, 116.18040147921045 40.23266606387802, 116.18052027476641 40.23299807521511, 116.1806710410911 40.23331684382618, 116.18085232622242 40.23361929979526, 116.18106238428544 40.23390253030601, 116.1812991923062 40.234163807693804, 116.18156046969399 40.23440061571456, 116.18184370020475 40.23461067377759, 116.18214615617383 40.23479195890891, 116.1824649247849 40.2349427252336, 116.18279693612197 40.23506152078955, 116.1831389927344 40.235147201510614, 116.18348780043002 40.2351989422446, 116.18384 40.23521624469996, 116.18419219956999 40.2351989422446, 116.18454100726561 40.235147201510614, 116.18488306387803 40.23506152078955, 116.18521507521511 40.2349427252336, 116.18553384382618 40.23479195890891, 116.18583629979526 40.23461067377759, 116.18611953030602 40.23440061571456, 116.18638080769381 40.234163807693804, 116.18661761571457 40.23390253030601, 116.18682767377759 40.23361929979526, 116.1870089589089 40.23331684382618, 116.1871597252336 40.23299807521511, 116.18727852078956 40.23266606387802, 116.18736420151062 40.232324007265596, 116.1874159422446 40.231975199569995, 116.18743324469997 40.231623))",400.0
云梦仙境景区,3A,CONSTRUCTED,"POLYGON ((116.69186924469997 40.614259, 116.6918519422446 40.61390680043, 116.69180020151062 40.6135579927344, 116.69171452078956 40.613215936121975, 116.6915957252336 40.61288392478489, 116.6914449589089 40.612565156173815, 116.69126367377758 40.61226270020474, 116.69105361571457 40.611979469693985, 116.6908168076938 40.61171819230619, 116.69055553030601 40.61148138428543, 116.69027229979525 40.61127132622241, 116.68996984382618 40.61109004109109, 116.68965107521511 40.610939274766395, 116.68931906387803 40.610820479210446, 116.6889770072656 40.61073479848938, 116.68862819956999 40.610683057755395, 116.688276 40.61066575530003, 116.68792380043001 40.610683057755395, 116.6875749927344 40.61073479848938, 116.68723293612197 40.610820479210446, 116.6869009247849 40.610939274766395, 116.68658215617383 40.61109004109109, 116.68627970020475 40.61127132622241, 116.68599646969399 40.61148138428543, 116.6857351923062 40.61171819230619, 116.68549838428544 40.611979469693985, 116.68528832622242 40.61226270020474, 116.6851070410911 40.612565156173815, 116.6849562747664 40.61288392478489, 116.68483747921044 40.613215936121975, 116.68475179848939 40.6135579927344, 116.6847000577554 40.61390680043, 116.68468275530003 40.614259, 116.6847000577554 40.61461119956999, 116.68475179848939 40.614960007265594, 116.68483747921044 40.61530206387802, 116.6849562747664 40.615634075215105, 116.6851070410911 40.61595284382618, 116.68528832622242 40.616255299795256, 116.68549838428544 40.61653853030601, 116.6857351923062 40.6167998076938, 116.68599646969399 40.61703661571456, 116.68627970020475 40.617246673777586, 116.68658215617383 40.617427958908905, 116.6869009247849 40.6175787252336, 116.68723293612197 40.61769752078955, 116.6875749927344 40.61778320151061, 116.68792380043001 40.6178349422446, 116.688276 40.61785224469996, 116.68862819956999 40.6178349422446, 116.6889770072656 40.61778320151061, 116.68931906387803 40.61769752078955, 116.68965107521511 40.6175787252336, 116.68996984382618 40.617427958908905, 116.69027229979525 40.617246673777586, 116.69055553030601 40.61703661571456, 116.6908168076938 40.6167998076938, 116.69105361571457 40.61653853030601, 116.69126367377758 40.616255299795256, 116.6914449589089 40.61595284382618, 116.6915957252336 40.615634075215105, 116.69171452078956 40.61530206387802, 116.69180020151062 40.614960007265594, 116.6918519422446 40.61461119956999, 116.69186924469997 40.614259))",400.0
京都第一瀑景区,2A,CONSTRUCTED,"POLYGON ((116.78827811174992 40.591561, 116.7882348556115 40.59068050107501, 116.78810550377653 40.589808481836, 116.78789130197389 40.58895334030493, 116.78759431308401 40.58812331196222, 116.78721739727227 40.58732639043455, 116.78676418444397 40.58657025051186, 116.78623903928641 40.58586217423496, 116.78564701923452 40.58520898076548, 116.78499382576504 40.58461696071359, 116.78428574948815 40.58409181555603, 116.78352960956546 40.58363860272774, 116.78273268803778 40.583261686915996, 116.78190265969506 40.58296469802612, 116.781047518164 40.58275049622347, 116.78017549892499 40.5826211443885, 116.779295 40.582577888250086, 116.77841450107502 40.5826211443885, 116.77754248183601 40.58275049622347, 116.77668734030495 40.58296469802612, 116.77585731196223 40.583261686915996, 116.77506039043455 40.58363860272774, 116.77430425051186 40.58409181555603, 116.77359617423497 40.58461696071359, 116.77294298076549 40.58520898076548, 116.7723509607136 40.58586217423496, 116.77182581555604 40.58657025051186, 116.77137260272774 40.58732639043455, 116.770995686916 40.58812331196222, 116.77069869802612 40.58895334030493, 116.77048449622347 40.589808481836, 116.7703551443885 40.59068050107501, 116.77031188825009 40.591561, 116.7703551443885 40.592441498924984, 116.77048449622347 40.593313518163995, 116.77069869802612 40.594168659695065, 116.770995686916 40.594998688037776, 116.77137260272774 40.59579560956545, 116.77182581555604 40.596551749488135, 116.7723509607136 40.597259825765036, 116.77294298076549 40.59791301923452, 116.77359617423497 40.59850503928641, 116.77430425051186 40.59903018444397, 116.77506039043455 40.59948339727226, 116.77585731196223 40.599860313084, 116.77668734030495 40.60015730197388, 116.77754248183601 40.60037150377653, 116.77841450107502 40.6005008556115, 116.779295 40.60054411174991, 116.78017549892499 40.6005008556115, 116.781047518164 40.60037150377653, 116.78190265969506 40.60015730197388, 116.78273268803778 40.599860313084, 116.78352960956546 40.59948339727226, 116.78428574948815 40.59903018444397, 116.78499382576504 40.59850503928641, 116.78564701923452 40.59791301923452, 116.78623903928641 40.597259825765036, 116.78676418444397 40.596551749488135, 116.78721739727227 40.59579560956545, 116.78759431308401 40.594998688037776, 116.78789130197389 40.594168659695065, 116.78810550377653 40.593313518163995, 116.7882348556115 40.592441498924984, 116.78827811174992 40.591561))",1000.0
仙居谷风景区,4A,CONSTRUCTED,"POLYGON ((117.24045311174991 40.587461, 117.2404098556115 40.58658050107501, 117.24028050377653 40.585708481836, 117.24006630197388 40.58485334030493, 117.23976931308401 40.58402331196222, 117.23939239727227 40.58322639043455, 117.23893918444396 40.58247025051186, 117.23841403928641 40.58176217423496, 117.23782201923451 40.58110898076548, 117.23716882576504 40.58051696071359, 117.23646074948815 40.57999181555603, 117.23570460956546 40.57953860272774, 117.23490768803778 40.579161686915995, 117.23407765969506 40.578864698026116, 117.233222518164 40.57865049622347, 117.23235049892499 40.578521144388496, 117.23147 40.578477888250085, 117.23058950107502 40.578521144388496, 117.229717481836 40.57865049622347, 117.22886234030494 40.578864698026116, 117.22803231196222 40.579161686915995, 117.22723539043454 40.57953860272774, 117.22647925051186 40.57999181555603, 117.22577117423496 40.58051696071359, 117.22511798076549 40.58110898076548, 117.22452596071359 40.58176217423496, 117.22400081555604 40.58247025051186, 117.22354760272773 40.58322639043455, 117.22317068691599 40.58402331196222, 117.22287369802612 40.58485334030493, 117.22265949622347 40.585708481836, 117.2225301443885 40.58658050107501, 117.22248688825009 40.587461, 117.2225301443885 40.58834149892498, 117.22265949622347 40.589213518163994, 117.22287369802612 40.59006865969506, 117.22317068691599 40.590898688037775, 117.22354760272773 40.59169560956545, 117.22400081555604 40.592451749488134, 117.22452596071359 40.593159825765035, 117.22511798076549 40.59381301923452, 117.22577117423496 40.59440503928641, 117.22647925051186 40.59493018444397, 117.22723539043454 40.59538339727226, 117.22803231196222 40.595760313084, 117.22886234030494 40.59605730197388, 117.229717481836 40.59627150377653, 117.23058950107502 40.5964008556115, 117.23147 40.59644411174991, 117.23235049892499 40.5964008556115, 117.233222518164 40.59627150377653, 117.23407765969506 40.59605730197388, 117.23490768803778 40.595760313084, 117.23570460956546 40.59538339727226, 117.23646074948815 40.59493018444397, 117.23716882576504 40.59440503928641, 117.23782201923451 40.59381301923452, 117.23841403928641 40.593159825765035, 117.23893918444396 40.592451749488134, 117.23939239727227 40.59169560956545, 117.23976931308401 40.590898688037775, 117.24006630197388 40.59006865969506, 117.24028050377653 40.589213518163994, 117.2404098556115 40.58834149892498, 117.24045311174991 40.587461))",1000.0
仙栖洞景区,3A,CONSTRUCTED,"POLYGON ((115.74833486704995 39.658273, 115.74830891336691 39.65774470064501, 115.74823130226592 39.6572214891016, 115.74810278118433 39.656708404182965, 115.7479245878504 39.65621038717734, 115.74769843836336 39.65573223426073, 115.74742651066639 39.655278550307116, 115.74711142357185 39.65485370454098, 115.74675621154071 39.654461788459294, 115.74636429545903 39.654106576428156, 115.74593944969288 39.65379148933362, 115.74548576573928 39.65351956163664, 115.74500761282268 39.6532934121496, 115.74450959581705 39.65311521881567, 115.7439965108984 39.652986697734086, 115.743473299355 39.6529090866331, 115.742945 39.65288313295005, 115.74241670064501 39.6529090866331, 115.74189348910161 39.652986697734086, 115.74138040418296 39.65311521881567, 115.74088238717734 39.6532934121496, 115.74040423426074 39.65351956163664, 115.73995055030713 39.65379148933362, 115.73952570454098 39.654106576428156, 115.7391337884593 39.654461788459294, 115.73877857642816 39.65485370454098, 115.73846348933363 39.655278550307116, 115.73819156163665 39.65573223426073, 115.7379654121496 39.65621038717734, 115.73778721881568 39.656708404182965, 115.73765869773409 39.6572214891016, 115.7375810866331 39.65774470064501, 115.73755513295006 39.658273, 115.7375810866331 39.65880129935499, 115.73765869773409 39.6593245108984, 115.73778721881568 39.65983759581704, 115.7379654121496 39.660335612822664, 115.73819156163665 39.66081376573927, 115.73846348933363 39.661267449692886, 115.73877857642816 39.66169229545902, 115.7391337884593 39.66208421154071, 115.73952570454098 39.66243942357185, 115.73995055030713 39.66275451066638, 115.74040423426074 39.66302643836336, 115.74088238717734 39.6632525878504, 115.74138040418296 39.66343078118433, 115.74189348910161 39.66355930226592, 115.74241670064501 39.6636369133669, 115.742945 39.66366286704995, 115.743473299355 39.6636369133669, 115.7439965108984 39.66355930226592, 115.74450959581705 39.66343078118433, 115.74500761282268 39.6632525878504, 115.74548576573928 39.66302643836336, 115.74593944969288 39.66275451066638, 115.74636429545903 39.66243942357185, 115.74675621154071 39.66208421154071, 115.74711142357185 39.66169229545902, 115.74742651066639 39.661267449692886, 115.74769843836336 39.66081376573927, 115.7479245878504 39.660335612822664, 115.74810278118433 39.65983759581704, 115.74823130226592 39.6593245108984, 115.74830891336691 39.65880129935499, 115.74833486704995 39.658273))",600.0
八大处公园,4A,CONSTRUCTED,"POLYGON ((116.18270055587494 39.961392, 116.18267892780574 39.960951750537504, 116.18261425188825 39.960515740918, 116.18250715098694 39.96008817015247, 116.182358656542 39.95967315598111, 116.18217019863613 39.95927469521727, 116.18194359222198 39.958896625255925, 116.1816810196432 39.95854258711748, 116.18138500961726 39.95821599038274, 116.1810584128825 39.95791998035679, 116.18070437474407 39.957657407778015, 116.18032630478272 39.95743080136386, 116.17992784401888 39.95724234345799, 116.17951282984752 39.957093849013056, 116.179085259082 39.95698674811173, 116.1786492494625 39.956922072194246, 116.178209 39.95690044412504, 116.1777687505375 39.956922072194246, 116.17733274091799 39.95698674811173, 116.17690517015247 39.957093849013056, 116.17649015598111 39.95724234345799, 116.17609169521727 39.95743080136386, 116.17571362525592 39.957657407778015, 116.17535958711748 39.95791998035679, 116.17503299038273 39.95821599038274, 116.1747369803568 39.95854258711748, 116.174474407778 39.958896625255925, 116.17424780136386 39.95927469521727, 116.174059343458 39.95967315598111, 116.17391084901305 39.96008817015247, 116.17380374811174 39.960515740918, 116.17373907219425 39.960951750537504, 116.17371744412505 39.961392, 116.17373907219425 39.96183224946249, 116.17380374811174 39.962268259081995, 116.17391084901305 39.962695829847526, 116.174059343458 39.963110844018885, 116.17424780136386 39.963509304782725, 116.174474407778 39.96388737474407, 116.1747369803568 39.964241412882515, 116.17503299038273 39.96456800961725, 116.17535958711748 39.9648640196432, 116.17571362525592 39.96512659222198, 116.17609169521727 39.96535319863613, 116.17649015598111 39.965541656542, 116.17690517015247 39.96569015098694, 116.17733274091799 39.96579725188826, 116.1777687505375 39.96586192780575, 116.178209 39.96588355587495, 116.1786492494625 39.96586192780575, 116.179085259082 39.96579725188826, 116.17951282984752 39.96569015098694, 116.17992784401888 39.965541656542, 116.18032630478272 39.96535319863613, 116.18070437474407 39.96512659222198, 116.1810584128825 39.9648640196432, 116.18138500961726 39.96456800961725, 116.1816810196432 39.964241412882515, 116.18194359222198 39.96388737474407, 116.18217019863613 39.963509304782725, 116.182358656542 39.963110844018885, 116.18250715098694 39.962695829847526, 116.18261425188825 39.962268259081995, 116.18267892780574 39.96183224946249, 116.18270055587494 39.961392))",500.0
八奇洞景区,4A,CONSTRUCTED,"POLYGON ((116.02905886704994 39.893253, 116.0290329133669 39.89272470064501, 116.02895530226591 39.8922014891016, 116.02882678118432 39.891688404182965, 116.0286485878504 39.89119038717734, 116.02842243836335 39.89071223426073, 116.02815051066638 39.89025855030712, 116.02783542357184 39.88983370454098, 116.0274802115407 39.889441788459294, 116.02708829545902 39.889086576428156, 116.02666344969288 39.88877148933362, 116.02620976573927 39.88849956163664, 116.02573161282267 39.8882734121496, 116.02523359581704 39.88809521881567, 116.02472051089839 39.887966697734086, 116.024197299355 39.8878890866331, 116.023669 39.88786313295005, 116.023140700645 39.8878890866331, 116.0226174891016 39.887966697734086, 116.02210440418295 39.88809521881567, 116.02160638717733 39.8882734121496, 116.02112823426073 39.88849956163664, 116.02067455030712 39.88877148933362, 116.02024970454097 39.889086576428156, 116.01985778845929 39.889441788459294, 116.01950257642815 39.88983370454098, 116.01918748933362 39.89025855030712, 116.01891556163665 39.89071223426073, 116.0186894121496 39.89119038717734, 116.01851121881568 39.891688404182965, 116.01838269773408 39.8922014891016, 116.01830508663309 39.89272470064501, 116.01827913295006 39.893253, 116.01830508663309 39.89378129935499, 116.01838269773408 39.8943045108984, 116.01851121881568 39.89481759581704, 116.0186894121496 39.895315612822664, 116.01891556163665 39.89579376573927, 116.01918748933362 39.896247449692886, 116.01950257642815 39.89667229545902, 116.01985778845929 39.89706421154071, 116.02024970454097 39.89741942357185, 116.02067455030712 39.89773451066638, 116.02112823426073 39.89800643836336, 116.02160638717733 39.8982325878504, 116.02210440418295 39.89841078118433, 116.0226174891016 39.89853930226592, 116.023140700645 39.8986169133669, 116.023669 39.89864286704995, 116.024197299355 39.8986169133669, 116.02472051089839 39.89853930226592, 116.02523359581704 39.89841078118433, 116.02573161282267 39.8982325878504, 116.02620976573927 39.89800643836336, 116.02666344969288 39.89773451066638, 116.02708829545902 39.89741942357185, 116.0274802115407 39.89706421154071, 116.02783542357184 39.89667229545902, 116.02815051066638 39.896247449692886, 116.02842243836335 39.89579376573927, 116.0286485878504 39.895315612822664, 116.02882678118432 39.89481759581704, 116.02895530226591 39.8943045108984, 116.0290329133669 39.89378129935499, 116.02905886704994 39.893253))",600.0
