primary,grade,osm_name,osm_fclass,layer,score,dist_km,disposition,wkt
世界公园30景区,4A,世界公园,theme_park,poi,0.75,0.0,OSM_MATCH,"POLYGON ((116.2765257 39.8091671, 116.2767702 39.8092607, 116.2771432 39.8093494, 116.2782042 39.8096018, 116.277539 39.8115468, 116.2818967 39.8124485, 116.2823439 39.8119638, 116.2832914 39.8116844, 116.2836756 39.8111953, 116.284003 39.8112434, 116.2841436 39.8108882, 116.2842432 39.8106365, 116.2847628 39.8094532, 116.2854919 39.8077417, 116.2861905 39.80796, 116.2862909 39.8077985, 116.2866636 39.8071926, 116.2852313 39.8066332, 116.2850717 39.8065611, 116.2845728 39.8063736, 116.2844534 39.8062932, 116.2831163 39.8057925, 116.2833175 39.8054989, 116.2819692 39.8049759, 116.2814443 39.8055468, 116.2803983 39.8076691, 116.2776463 39.8068655, 116.2765257 39.8091671))"
世界花卉大观园景区,4A,世界花卉大观园,park,landuse,1.0,0.0,OSM_MATCH,"POLYGON ((116.3450869 39.8301158, 116.3451025 39.8308066, 116.3454154 39.8308006, 116.3453685 39.8326267, 116.3451495 39.8330171, 116.3451416 39.8335938, 116.3453215 39.8342064, 116.3455249 39.8358883, 116.3456735 39.8362787, 116.3463775 39.8377143, 116.3466748 39.8379185, 116.3469095 39.8380867, 116.3471989 39.8381047, 116.3475665 39.8382849, 116.3477453 39.8382945, 116.3487946 39.8383509, 116.348598 39.8364623, 116.3485443 39.8350203, 116.3487007 39.8347831, 116.3487242 39.8342365, 116.3488181 39.8331613, 116.3489902 39.8329871, 116.3493891 39.8300977, 116.3450869 39.8301158))"
东城区龙潭公园景区,4A,龙潭公园,park,landuse,0.67,0.0,OSM_MATCH,"POLYGON ((116.4285735 39.8796357, 116.4302395 39.8796871, 116.4343626 39.8798142, 116.4358508 39.8798601, 116.4378096 39.8791348, 116.438842 39.8787944, 116.4389785 39.8780649, 116.438973 39.8776652, 116.4389392 39.8772074, 116.4388186 39.8767825, 116.4378229 39.874846, 116.4372049 39.8739238, 116.4368959 39.8733573, 116.4352671 39.873875, 116.4338069 39.8739732, 116.4333168 39.8750963, 116.4316534 39.8765396, 116.4316088 39.8765783, 116.429372 39.8785687, 116.4285735 39.8796357))"
中华石雕艺术园景区,2A,中华石雕艺术园,park,landuse,1.0,0.0,OSM_MATCH,"POLYGON ((115.8147476 39.5500739, 115.8147638 39.5500988, 115.814797 39.55011, 115.8168481 39.550469, 115.8168941 39.5504637, 115.8169213 39.5504453, 115.8178013 39.5484687, 115.8178047 39.5484254, 115.8177877 39.5483913, 115.8177519 39.548365, 115.8158421 39.5478728, 115.8157774 39.5478676, 115.815706 39.547882, 115.8156549 39.5479109, 115.8147476 39.5500739))"
中国人民抗日战争纪念馆景区,4A,中国人民抗日战争纪念馆,museum,poi,1.0,0.01,OSM_MATCH,"POLYGON ((116.2191778 39.8511016, 116.2192273 39.8511763, 116.2192768 39.8511933, 116.2192632 39.8512641, 116.2192973 39.8513008, 116.2201067 39.851445, 116.220175 39.8514214, 116.2202126 39.8512903, 116.2202638 39.8513008, 116.2203218 39.8512746, 116.2204516 39.850821, 116.2204243 39.8507738, 116.2199083 39.8506915, 116.2193724 39.8506061, 116.2193041 39.8506349, 116.2191778 39.8511016), (116.2194055 39.8509408, 116.2194248 39.8508768, 116.2195537 39.8508998, 116.2195343 39.8509638, 116.2194055 39.8509408), (116.2201588 39.8510675, 116.2201781 39.8510035, 116.220307 39.8510265, 116.2202876 39.8510905, 116.2201588 39.8510675))"
中国印刷博物馆景区,3A,中国印刷博物馆,museum,poi,1.0,0.0,OSM_MATCH,"POLYGON ((116.3248109 39.7421516, 116.3250897 39.7421501, 116.3250917 39.742185, 116.3254911 39.7421835, 116.325495 39.7421698, 116.3256315 39.7421698, 116.3256334 39.7421197, 116.3257798 39.7421166, 116.3257798 39.7419509, 116.3255089 39.7417578, 116.3253167 39.7417647, 116.3253107 39.7418506, 116.3251075 39.7418491, 116.3251095 39.7418126, 116.3250858 39.7417883, 116.3248386 39.7417898, 116.3248169 39.741808, 116.3248109 39.7421516))"
中国地质博物馆,3A,中国地质博物馆,museum,poi,1.0,0.03,OSM_MATCH,"POLYGON ((116.3658099 39.9220252, 116.3658115 39.9221849, 116.3664084 39.9221815, 116.3664021 39.921539, 116.3661706 39.9215404, 116.3661725 39.9217265, 116.3661754 39.922023, 116.3658099 39.9220252))"
中国紫檀博物馆,4A,中国紫檀博物馆,museum,poi,1.0,0.0,OSM_MATCH,"POLYGON ((116.5194538 39.9103893, 116.5204972 39.9105075, 116.5208819 39.9085108, 116.5198382 39.9083925, 116.5194538 39.9103893))"
中国航空博物馆旅游区,4A,中国航空博物馆,museum,poi,1.0,0.0,OSM_MATCH,"POLYGON ((116.3552624 40.1804659, 116.3557634 40.1811682, 116.3556551 40.1812121, 116.3558886 40.1815428, 116.3558558 40.181664, 116.3562531 40.1816949, 116.3562584 40.182219, 116.356251 40.1876445, 116.3581361 40.1876445, 116.3582537 40.1876445, 116.363081 40.1876445, 116.3630601 40.1851131, 116.3630697 40.1850586, 116.3630653 40.1834167, 116.3654539 40.1829223, 116.3644063 40.1811346, 116.3626663 40.1802959, 116.3609263 40.1799667, 116.3590074 40.1797803, 116.3572369 40.1800482, 116.3562562 40.1800839, 116.3559966 40.1801828, 116.355588 40.1803357, 116.3555014 40.1803703, 116.3552624 40.1804659))"
中央电视塔景区,4A,中央电视塔,attraction,poi,1.0,0.06,OSM_MATCH,"POLYGON ((116.2998802 39.9181612, 116.2998925 39.9182569, 116.2999411 39.9183455, 116.3000215 39.9184192, 116.3001267 39.9184715, 116.3002473 39.9184976, 116.3003727 39.9184954, 116.3004915 39.9184649, 116.3005934 39.9184088, 116.3006692 39.9183323, 116.3007122 39.918242, 116.3007186 39.918146, 116.3006878 39.9180528, 116.3006613 39.9180128, 116.3006063 39.9179587, 116.3005287 39.917907, 116.3004145 39.9178673, 116.3002902 39.9178553, 116.3001667 39.9178718, 116.3000551 39.9179156, 116.2999653 39.9179826, 116.2999052 39.918067, 116.2998802 39.9181612))"
丰台区万芳亭公园景区,2A,万芳亭公园,park,landuse,0.73,0.0,OSM_MATCH,"POLYGON ((116.3664563 39.8558205, 116.3665341 39.856413, 116.3675505 39.8572369, 116.3686644 39.8580608, 116.3696239 39.8585914, 116.3701899 39.8592137, 116.3704903 39.8594278, 116.3712604 39.8589732, 116.3712211 39.8580283, 116.3712043 39.8573371, 116.3719821 39.8573479, 116.371987 39.8561459, 116.3684245 39.8560259, 116.3681356 39.8560183, 116.3679041 39.8559649, 116.3675905 39.855907, 116.3670688 39.8558496, 116.3664563 39.8558205))"
乐谷银滩风景区,3A,乐谷银滩景区,park,landuse,1.0,0.0,OSM_MATCH,"POLYGON ((115.6513969 39.6104398, 115.6525578 39.6122175, 115.6551627 39.6142897, 115.6569889 39.6174305, 115.6603157 39.6189081, 115.660572 39.6188405, 115.6606974 39.6188074, 115.6631166 39.6181694, 115.6632933 39.6154574, 115.6612358 39.6148894, 115.6600043 39.6141043, 115.6605989 39.6118795, 115.6596928 39.6097527, 115.6567765 39.608673, 115.6534638 39.6088584, 115.6513969 39.6104398))"
八达岭,5A,八达岭长城,attraction,poi,0.67,0.12,OSM_MATCH,"POLYGON ((115.9986422 40.3560296, 115.9992296 40.3568196, 116.0037297 40.3554033, 116.0050291 40.3569009, 116.0057455 40.3583878, 116.0051065 40.3590517, 116.005644 40.3599136, 116.0049633 40.3613532, 116.006247 40.360597, 116.0106138 40.3630713, 116.0153062 40.3640991, 116.0198657 40.3635389, 116.0185612 40.3567173, 116.0132775 40.3504993, 116.0131076 40.3503885, 116.012155 40.3503026, 116.0075592 40.3519712, 116.006818 40.3517723, 116.0059123 40.3504549, 116.0011472 40.3503284, 116.000126 40.3511112, 115.9995517 40.3536682, 115.9986422 40.3560296))"
八达岭水关长城景区,4A,八达岭长城,attraction,poi,0.6,2.77,OSM_MATCH,"POLYGON ((115.9986422 40.3560296, 115.9992296 40.3568196, 116.0037297 40.3554033, 116.0050291 40.3569009, 116.0057455 40.3583878, 116.0051065 40.3590517, 116.005644 40.3599136, 116.0049633 40.3613532, 116.006247 40.360597, 116.0106138 40.3630713, 116.0153062 40.3640991, 116.0198657 40.3635389, 116.0185612 40.3567173, 116.0132775 40.3504993, 116.0131076 40.3503885, 116.012155 40.3503026, 116.0075592 40.3519712, 116.006818 40.3517723, 116.0059123 40.3504549, 116.0011472 40.3503284, 116.000126 40.3511112, 115.9995517 40.3536682, 115.9986422 40.3560296))"
兴隆公园景区,3A,兴隆公园,park,landuse,1.0,0.0,OSM_MATCH,"POLYGON ((116.5232681 39.9117303, 116.5235256 39.9117961, 116.5234485 39.9125614, 116.5237495 39.9126849, 116.5243877 39.912694, 116.5244827 39.9128451, 116.5252602 39.9129189, 116.525547 39.9127705, 116.5260685 39.9126778, 116.5261394 39.9127764, 116.5259503 39.9139357, 116.5252422 39.9139028, 116.5252872 39.9142691, 116.5254482 39.9144871, 116.5255845 39.9145844, 116.5255705 39.9153841, 116.5266053 39.9153269, 116.5266706 39.9144794, 116.5273816 39.9144741, 116.5274218 39.9149962, 116.5281714 39.9149315, 116.5281492 39.9147561, 116.5285863 39.9147254, 116.5287132 39.914738, 116.5287398 39.9141168, 116.5330313 39.9141168, 116.5329424 39.9127922, 116.5319631 39.9127869, 116.5317579 39.9089403, 116.5317653 39.9087347, 116.5239547 39.9087347, 116.5235899 39.9112201, 116.5232681 39.9117303))"
北京世园公园,4A,北京世园公园,park,landuse,1.0,0.0,OSM_MATCH,"POLYGON ((115.9258493 40.4327904, 115.92593 40.4337669, 115.9260466 40.4350119, 115.9262871 40.4364148, 115.9356236 40.4427687, 115.9377657 40.4435892, 115.9425949 40.4439963, 115.944319 40.4498199, 115.9459302 40.4507999, 115.9499696 40.4512092, 115.954597 40.4511555, 115.9587292 40.4514251, 115.9592481 40.4498142, 115.9579499 40.4493601, 115.9579508 40.4493025, 115.9585461 40.4465887, 115.958532 40.444514, 115.9578977 40.443873, 115.9579655 40.4438793, 115.9584775 40.4439583, 115.9590226 40.4439814, 115.9588515 40.4437871, 115.9586791 40.4435531, 115.95845 40.4432479, 115.9583647 40.4431343, 115.9571312 40.441491, 115.9570806 40.4414196, 115.9569927 40.4412955, 115.9569224 40.4411963, 115.9568646 40.4411147, 115.9558948 40.4397455, 115.9552644 40.4388554, 115.9551396 40.4386847, 115.9528397 40.43554, 115.9501146 40.4350174, 115.9454265 40.4343921, 115.9453626 40.4343943, 115.9451096 40.4343611, 115.943972 40.4342116, 115.9436026 40.4341631, 115.9406442 40.4337876, 115.9401095 40.4337119, 115.9388587 40.433535, 115.9386182 40.433506, 115.9385288 40.4334809, 115.9384698 40.4334643, 115.9329699 40.4327308, 115.931661 40.4324368, 115.9296011 40.4317345, 115.926324 40.4304534, 115.9259751 40.4318723, 115.9258493 40.4327904))"
