name,grade,L1,L2,L3_ok,area
世界公园30景区,4A,0,0.46,True,0.51
世界花卉大观园景区,4A,0,0.25,True,0.33
东城区龙潭公园景区,4A,0,0.7,True,0.51
中国人民抗日战争纪念馆景区,4A,0,0.94,False,0.01
中国紫檀博物馆,4A,1,0.6,False,0.03
中国航空博物馆旅游区,4A,2,0.0,True,0.71
中央电视塔景区,4A,0,0.0,False,0.01
八达岭,5A,6,0.04,True,2.24
八达岭水关长城景区,4A,6,0.04,True,2.24
北京世园公园,4A,0,0.73,True,4.56
北京动物园景区,4A,0,0.68,True,0.96
北京园博园景区,4A,3,0.62,True,6.64
北京国际鲜花港景区,4A,0,0.73,True,1.34
北京奥林匹克公园,5A,1,0.86,True,3.47
北京市中山公园景区,4A,1,0.19,True,0.18
北京市北海公园旅游区,4A,0,0.4,True,0.89
北京市景山公园景区,4A,0,0.38,True,0.29
北京市欢乐谷景区,4A,2,0.53,True,0.6
北京市玉渊潭公园景区,4A,1,0.23,True,1.43
北京市陶然亭公园景区,4A,1,0.31,True,0.71
北京汽车博物馆景区,4A,0,0.09,False,0.01
北京石景山游乐园景区,4A,0,0.85,True,0.47
北京野生动物园景区,4A,0,0.22,True,2.71
南宫旅游景区,4A,0,0.53,True,0.43
圆明园遗址公园景区,5A,2,0.19,True,4.16
天坛公园,5A,0,0.45,True,2.58
恭王府景区,5A,0,0.75,True,0.07
明十三陵景区,5A,0,0.89,True,0.25
明城墙遗址公园,4A,0,0.26,True,0.09
朝阳公园景区,4A,5,0.12,True,3.09
潭柘寺景区,4A,0,0.04,True,0.21
紫竹院公园景区,4A,0,0.24,True,0.54
谷山村景区,4A,0,0.15,True,0.31
颐和园,5A,1,0.25,True,3.94
首都博物馆,4A,0,0.0,False,0.02
丰台区中国园林博物馆景区,4A,0,0.38,True,0.13
乐多港假日广场景区,4A,0,0.09,True,0.5
仙居谷风景区,4A,0,0.03,True,3.14
八大处公园,4A,0,0.0,True,0.78
八奇洞景区,4A,0,0.15,True,1.13
北京,5A,14,0.22,True,0.5
北京凤凰岭景区,4A,1,0.0,True,0.53
北京十渡风景区,4A,0,0.05,True,3.14
北京圣莲山旅游风景区,4A,0,0.06,True,3.14
北京天文馆景区,4A,0,0.29,True,0.89
北京密云司马台长城景区,4A,18,0.05,True,7.06
北京市东城区地坛公园景区,4A,0,0.8,True,0.39
北京市平谷区丫髻山景区,4A,0,0.2,True,3.14
北京市怀柔区红螺寺景区,4A,0,0.0,True,0.28
北京市房山区云居寺景区,4A,2,0.4,True,0.28
北京市房山区石花洞景区,4A,3,0.02,True,1.13
北京市门头沟区戒台寺景区,4A,2,0.15,True,0.28
北京市香山公园景区,4A,0,0.1,True,1.73
北京延庆百里山水画廊景区,4A,0,0.0,True,3.14
北京张裕爱斐堡国际酒庄旅游景区,4A,0,0.23,True,0.5
北京雁栖湖景区,4A,0,0.2,True,2.01
北京黄花城水长城旅游区,4A,0,0.0,True,7.06
北京龙脉温泉景区,4A,1,0.46,True,0.78
国家植物园景区,4A,0,0.38,True,1.63
孔庙和国子监博物馆景区,4A,1,0.14,True,1.41
小汤山现代农业科技示范园景区,4A,0,0.0,True,0.5
居庸关长城景区,4A,3,0.09,True,7.06
平谷京东大峡谷旅游区,4A,0,0.17,True,4.52
平谷区京东石林峡风景区,4A,1,0.06,True,4.52
怀柔青龙峡旅游区,4A,0,0.02,True,4.52
金海湖风景区,4A,0,0.22,True,2.01
银山塔林风景区,4A,0,0.0,True,3.14
顺义奥林匹克水上公园,4A,0,0.22,True,0.78
黑龙潭旅游区,4A,0,0.0,True,0.78
